Date, Run, Source, LSR1, LSR2, LSR3, LSR4, UTC, DUR, USE, MODE, SKY, T1-FIR CRMS, EL, AZ, Hz, TEL, NSB
20130110,65956, Mrk421,65953,65953,65953,65953, 08:11,30,30, 0.5W, A-, 0.1 (A),57,67,424, 2/1234, 5.7 (d)
20130110,65957, Mrk421,65953,65953,65953,65953, 08:42,30,25, 0.5N, B, 0.3 (B),62,66,435, 2/1234, 5.5 (d)
20130115,66083, Mrk421,66088,66088,66088,66088, 08:22,30,30, 0.5S, A, 0.2 (B),62,68,477, 2/1234, 4.8 (d)
20130115,66084, Mrk421,66088,66088,66088,66088, 08:53,30,30, 0.5E, A, 0.2 (B),68,66,477, 2/1234, 4.6 (d)
20130115,66095, Mrk421,66088,66088,66088,66088, 12:41,30,30, 0.5W, A, 0.2 (B),63,294,471, 2/1234, 4.8 (d)
20130120,66254, Mrk421,66253,66253,66253,66253, 09:02,30,30, 0.5W, A, 0.1 (A),74,61,443, 2/1234, 5.2 (d)
20130120,66259, Mrk421,66253,66253,66253,66253, 11:40,30,30, 0.5N, A, 0.1 (A),71,299,447, 2/1234, 4.5 (d)
20130120,66260, Mrk421,66253,66253,66253,66253, 12:12,30,30, 0.5S, A, 0.1 (A),65,293,441, 2/1234, 4.7 (d)
20130120,66261, Mrk421,66253,66253,66253,66253, 12:43,30,30, 0.5E, A, 0.1 (A),59,293,424, 2/1234, 5.4 (d)
20130122,66312, Mrk421,66311,66311,66311,66311, 12:01,30,30, 0.5S, A, 0.1 (A),66,293,433, 2/1234, 5.0 (d)
20130205,66571, Mrk421,66590,66568,66568,66568, 11:30,30,30, 0.5N, A, 0.1 (A),61,295,213, 2/1234, 2.6 (l)
20130206,66584, Mrk421,66590,66590,66590,66590, 06:52,30,27, 0.5S, B, 0.8 (D),62,68,436, 2/1234, 5.0 (d)
20130206,66585, Mrk421,66590,66590,66590,66590, 07:24,30,10, 0.5E, B, 2.0 (D),67,66,407, 2/1234, 5.4 (d)
20130208,66631, Mrk421,66627,66627,66627,66627, 07:34,30,14, 0.5S, B-, 2.2 (D),72,65,419, 2/1234, 5.1 (d)
20130214,66798, Mrk421,66796,66796,66796,66796, 07:11,30,30, 0.5E, A, 0.1 (A),71,64,450, 2/1234, 4.7 (d)
20130217,66909, Mrk421,66913,66913,66913,66913, 09:40,30,30, 0.5S, A, 0.1 (A),73,297,442, 2/1234, 4.5 (d)
20130217,66910, Mrk421,66913,66913,66913,66913, 10:13,30,22, 0.5E, B, 0.5 (D),67,295,434, 2/1234, 4.6 (d)
20130312,67278, Mrk421,67275,67275,67275,67275, 05:39,30,30, 0.5N, A, 0.1 (A),73,60,439, 2/1234, 5.0 (d)
20130317,67443, Mrk421,67444,67444,67444,67444, 04:31,30,30, 0.5N, A, 0.2 (B),64,66,383, 2/1234, 8.5 (m)
20130317,67445, Mrk421,67444,67444,67444,67444, 05:07,30,30, 0.5E, A, 0.1 (A),71,64,387, 2/1234, 7.5 (m)
20130403,67678, Mrk421,67669,67669,67669,67669, 07:00,20,20, 0.5S, A, 0.1 (A),71,295,405, 2/1234, 5.9 (d)
20130403,67679, Mrk421,67669,67669,67669,67669, 07:22,6,6, 0.5E, A, 0.0 (A),68,295,402, 2/1234, 6.1 (d)
20130411,67935, Mrk421,67949,67949,67949,67949, 03:37,30,30, 0.5W, A, 0.1 (A),73,62,417, 2/1234, 5.0 (d)
20130411,67942, Mrk421,67949,67949,67949,67949, 06:49,30,30, 0.5W, A, 0.1 (A),65,294,413, 2/1234, 5.0 (d)
20130411,67943, Mrk421,67949,67949,67949,67949, 07:19,33,33, 0.5N, A, 0.1 (A),60,295,405, 2/1234, 5.0 (d)
20130412,67961, Mrk421,67973,67973,67973,67973, 06:23,30,30, 0.5S, A, 0.1 (A),70,295,406, 2/1234, 4.8 (d)
20130412,67962, Mrk421,67973,67973,67973,67973, 06:54,30,30, 0.5E, A, 0.1 (A),65,294,401, 2/1234, 4.8 (d)
20130412,67963, Mrk421,67973,67973,67973,67973, 07:25,30,30, 0.5W, A, 0.1 (A),58,293,391, 2/1234, 5.1 (d)
20130412,67964, Mrk421,67973,67973,67973,67973, 07:55,30,30, 0.5N, A, 0.1 (A),52,295,377, 2/1234, 5.2 (d)
